id_bandeja,Meses,Macrotera  sinaloana,Apis mellifera,Bombus pensylvanicus,Diadasia sp.,Melissodes sp.,Augochlorella sp.,Lassioglossum (Dialictus),Lassioglossum (Evylaeus),Lithurgus littoralis,Megachile sp.
2015_1_1,1,0,1,0,0,0,0,0,0,0,0
2015_1_2,1,0,0,0,1,0,0,0,0,0,0
2015_1_3,1,1,1,0,0,0,0,0,0,0,0
2015_1_4,1,0,0,0,0,0,0,0,0,0,0
2015_1_5,1,0,1,0,0,0,0,0,0,0,0
2015_1_6,1,1,0,0,0,0,0,0,0,0,0
2015_1_7,1,0,0,0,0,0,0,0,0,0,0
2015_1_8,1,1,1,0,1,0,0,0,0,0,0
2015_1_9,1,0,0,0,0,0,0,0,0,0,0
2015_1_10,1,0,1,0,0,0,0,2,0,0,0
2015_1_11,1,0,0,0,0,0,0,0,0,0,0
2015_1_12,1,0,1,0,0,0,0,0,0,0,0
2015_1_13,1,0,0,0,0,0,0,0,0,0,0
2015_1_14,1,1,0,0,0,0,0,0,0,0,0
2015_1_15,1,0,1,0,0,0,0,0,0,0,0
2015_1_16,1,0,0,0,0,0,0,0,0,0,0
2015_1_17,1,0,0,0,0,0,0,0,0,0,0
2015_1_18,1,0,1,0,0,0,0,0,0,0,0
2015_1_19,1,0,0,0,0,0,0,0,0,0,0
2015_1_20,1,0,0,0,0,0,0,0,0,0,0
2015_1_21,1,0,0,0,0,0,0,0,0,0,0
2015_1_22,1,0,0,0,0,0,0,0,0,0,0
2015_1_23,1,0,0,0,0,0,0,0,0,0,0
2015_1_24,1,0,0,0,0,0,0,0,0,0,0
2015_1_25,1,0,0,0,0,0,0,0,0,0,0
2015_1_26,1,0,0,0,0,0,0,0,0,0,0
2015_1_27,1,0,1,0,0,0,0,0,0,0,0
2015_1_28,1,0,0,0,0,0,0,0,0,0,0
2015_1_29,1,0,1,0,0,0,0,0,0,0,0
2015_1_30,1,0,0,0,0,0,0,0,0,0,0
2015_2_1,2,1,0,0,0,0,0,0,0,0,0
2015_2_2,2,0,3,0,0,0,0,0,0,0,0
2015_2_3,2,1,0,0,0,0,1,0,0,0,0
2015_2_4,2,0,1,0,0,0,0,0,1,0,0
2015_2_5,2,2,0,0,0,0,0,1,0,0,0
2015_2_6,2,0,1,0,0,0,0,0,1,0,0
2015_2_7,2,0,0,0,0,0,1,0,0,0,0
2015_2_8,2,1,2,0,0,0,0,0,0,0,0
2015_2_9,2,0,0,0,0,0,0,1,0,0,0
2015_2_10,2,0,0,0,0,0,1,0,1,0,0
2015_2_11,2,0,0,0,0,0,0,0,0,0,0
2015_2_12,2,1,2,0,0,0,0,0,0,0,0
2015_2_13,2,0,0,0,0,0,0,0,0,0,0
2015_2_14,2,1,0,0,0,0,0,1,0,0,0
2015_2_15,2,0,0,0,0,0,0,0,1,0,0
2015_2_16,2,0,0,0,0,0,0,1,0,0,0
2015_2_17,2,0,3,0,0,0,0,0,0,0,0
2015_2_18,2,0,0,0,0,0,0,0,0,0,0
2015_2_19,2,0,0,0,0,0,0,0,0,0,0
2015_2_20,2,0,0,0,0,0,0,0,0,0,0
2015_2_21,2,0,0,0,0,0,0,0,0,0,0
2015_2_22,2,0,0,0,0,0,0,0,1,0,0
2015_2_23,2,0,1,0,0,0,0,0,0,0,0
2015_2_24,2,0,0,0,0,0,0,0,0,0,0
2015_2_25,2,0,0,0,0,0,0,0,1,0,0
2015_2_26,2,0,0,0,0,0,0,0,0,0,0
2015_2_27,2,0,0,0,0,0,1,0,0,0,0
2015_2_28,2,0,1,0,0,0,0,0,0,0,0
2015_2_29,2,0,0,0,0,0,0,0,0,0,0
2015_2_30,2,0,0,0,0,0,0,1,0,0,0
2015_3_1,3,2,0,0,0,0,0,2,0,0,0
2015_3_2,3,0,1,0,0,0,1,0,0,0,0
2015_3_3,3,0,0,0,2,0,0,3,0,0,0
2015_3_4,3,1,0,0,0,0,1,0,2,0,0
2015_3_5,3,0,2,0,1,0,1,3,0,0,0
2015_3_6,3,4,0,0,0,0,0,0,0,0,0
2015_3_7,3,0,0,0,0,0,0,0,1,0,0
2015_3_8,3,1,1,0,0,0,0,0,0,0,0
2015_3_9,3,0,0,0,0,0,2,0,3,0,0
2015_3_10,3,0,0,0,1,0,0,2,0,0,0
2015_3_11,3,2,0,0,0,0,0,0,0,0,0
2015_3_12,3,0,0,0,0,0,1,0,0,0,0
2015_3_13,3,0,0,0,0,0,0,0,1,0,0
2015_3_14,3,0,0,0,1,0,0,0,0,0,0
2015_3_15,3,0,1,0,0,0,1,1,0,0,3
2015_3_16,3,0,0,0,0,0,0,0,0,0,0
2015_3_17,3,1,1,0,0,0,0,0,0,0,0
2015_3_18,3,0,0,0,0,0,1,0,1,0,0
2015_3_19,3,0,1,0,0,0,0,0,0,0,0
2015_3_20,3,0,0,0,0,0,0,0,1,0,0
2015_3_21,3,1,0,0,0,0,0,1,0,0,0
2015_3_22,3,0,0,0,0,0,0,0,0,0,0
2015_3_23,3,0,0,0,0,0,0,0,1,0,0
2015_3_24,3,2,0,0,0,0,0,1,0,0,0
2015_3_25,3,0,0,0,0,0,0,0,0,0,0
2015_3_26,3,0,0,0,1,0,0,0,1,0,0
2015_3_27,3,0,0,0,0,0,0,0,0,0,0
2015_3_28,3,1,0,0,1,0,0,0,1,0,0
2015_3_29,3,0,0,0,0,0,0,0,0,0,0
2015_3_30,3,0,0,0,0,0,0,0,0,0,0
2015_4_1,4,0,0,0,0,0,1,0,0,0,1
2015_4_2,4,1,0,0,0,0,0,1,0,0,0
2015_4_3,4,0,2,0,0,0,3,0,0,0,0
2015_4_4,4,0,0,0,1,0,0,0,2,0,0
2015_4_5,4,2,0,0,0,0,0,3,0,0,1
2015_4_6,4,0,1,0,0,0,1,0,2,0,0
2015_4_7,4,2,0,0,1,0,0,0,0,0,1
2015_4_8,4,0,1,0,0,0,2,0,1,0,0
2015_4_9,4,0,0,0,1,0,0,3,0,0,0
2015_4_10,4,0,0,0,0,0,0,0,0,0,0
2015_4_11,4,1,0,0,0,0,0,0,0,0,0
2015_4_12,4,0,0,0,0,0,0,1,2,0,0
2015_4_13,4,1,0,0,1,0,0,0,0,0,0
2015_4_14,4,0,0,0,0,0,0,1,0,0,0
2015_4_15,4,1,0,0,0,0,1,0,0,0,1
2015_4_16,4,0,0,0,0,0,0,0,1,0,0
2015_4_17,4,0,1,0,0,0,0,0,0,0,0
2015_4_18,4,2,0,0,0,0,0,0,0,0,1
2015_4_19,4,1,0,0,0,0,1,0,2,0,0
2015_4_20,4,0,1,0,0,0,0,2,0,0,0
2015_4_21,4,0,0,0,1,0,0,0,0,0,0
2015_4_22,4,1,0,0,0,0,0,0,1,0,0
2015_4_23,4,0,0,0,0,0,0,0,0,0,0
2015_4_24,4,0,0,0,0,0,0,0,0,0,0
2015_4_25,4,0,0,0,0,0,0,0,1,0,0
2015_4_26,4,0,1,0,0,0,0,0,0,0,0
2015_4_27,4,0,0,0,0,0,0,0,0,0,0
2015_4_28,4,0,0,0,0,0,1,0,0,0,1
2015_4_29,4,1,0,0,0,0,0,0,0,0,0
2015_4_30,4,0,0,0,0,0,0,0,0,0,0
2015_5_1,5,0,0,0,2,0,0,0,0,0,0
2015_5_2,5,0,1,0,0,0,3,0,0,0,2
2015_5_3,5,0,0,0,0,0,0,2,0,0,0
2015_5_4,5,1,0,0,1,0,0,1,0,0,1
2015_5_5,5,0,2,0,0,0,1,0,3,0,0
2015_5_6,5,1,0,0,1,0,0,1,0,0,0
2015_5_7,5,3,0,0,0,0,1,1,3,0,0
2015_5_8,5,0,0,0,0,0,1,0,0,0,0
2015_5_9,5,2,0,0,0,0,0,0,2,0,0
2015_5_10,5,0,0,0,0,0,0,0,0,0,1
2015_5_11,5,0,1,0,1,0,0,0,0,0,0
2015_5_12,5,1,0,0,0,0,0,0,1,0,0
2015_5_13,5,0,0,0,0,0,1,0,0,0,1
2015_5_14,5,0,1,0,0,0,0,0,0,0,0
2015_5_15,5,1,0,0,0,0,0,2,1,0,0
2015_5_16,5,0,0,0,0,0,0,0,1,0,0
2015_5_17,5,0,0,0,2,0,0,0,0,0,1
2015_5_18,5,0,1,0,0,0,1,1,0,0,0
2015_5_19,5,1,0,0,0,0,0,0,0,0,1
2015_5_20,5,0,0,0,1,0,0,0,0,0,0
2015_5_21,5,0,0,0,0,0,1,0,1,0,0
2015_5_22,5,0,0,0,0,0,0,0,0,0,0
2015_5_23,5,0,1,0,0,0,0,0,0,0,0
2015_5_24,5,0,0,0,0,0,0,0,1,0,0
2015_5_25,5,0,0,0,0,0,1,0,0,0,0
2015_5_26,5,0,0,0,0,0,0,0,0,0,0
2015_5_27,5,1,0,0,0,0,0,1,0,0,0
2015_5_28,5,0,0,0,0,0,0,0,1,0,0
2015_5_29,5,0,0,0,1,0,0,1,0,0,0
2015_5_30,5,0,0,0,0,0,0,1,0,0,0
2015_6_1,6,0,3,0,0,0,0,0,0,0,0
2015_6_2,6,0,0,0,1,0,0,2,0,0,0
2015_6_3,6,2,1,0,0,0,1,0,2,0,0
2015_6_4,6,1,0,0,0,0,0,0,0,0,1
2015_6_5,6,0,3,0,1,0,0,1,0,0,0
2015_6_6,6,1,0,0,0,0,2,0,1,0,0
2015_6_7,6,1,0,0,2,0,0,0,0,0,0
2015_6_8,6,0,1,0,0,0,0,0,1,0,0
2015_6_9,6,1,0,0,1,0,0,1,0,0,0
2015_6_10,6,0,0,0,0,0,0,0,0,0,1
2015_6_11,6,0,1,0,0,0,1,0,1,0,0
2015_6_12,6,0,0,0,0,0,0,0,0,0,0
2015_6_13,6,1,0,0,0,0,0,0,0,0,1
2015_6_14,6,0,1,0,0,0,0,1,0,0,0
2015_6_15,6,0,1,0,1,0,1,0,1,0,0
2015_6_16,6,1,0,0,0,0,0,0,0,0,1
2015_6_17,6,0,0,0,0,0,0,1,0,0,0
2015_6_18,6,0,0,0,0,0,0,0,0,0,0
2015_6_19,6,0,0,0,0,0,1,0,0,0,1
2015_6_20,6,1,0,0,0,0,0,0,0,0,0
2015_6_21,6,0,0,0,0,0,0,1,1,0,0
2015_6_22,6,0,1,0,0,0,0,0,0,0,0
2015_6_23,6,0,0,0,0,0,1,0,0,0,0
2015_6_24,6,0,0,0,0,0,0,0,0,0,0
2015_6_25,6,0,0,0,0,0,0,0,0,0,0
2015_6_26,6,0,0,0,0,0,2,1,1,0,0
2015_6_27,6,0,0,0,0,0,0,0,0,0,0
2015_6_28,6,0,0,0,0,0,0,0,0,0,0
2015_6_29,6,0,0,0,0,0,0,0,2,0,0
2015_6_30,6,0,0,0,0,0,0,0,0,0,0
2015_7_1,7,2,0,0,0,0,1,0,0,0,0
2015_7_2,7,0,2,0,0,0,0,0,0,0,1
2015_7_3,7,0,1,0,0,0,0,1,0,0,0
2015_7_4,7,2,0,0,0,0,0,2,0,0,0
2015_7_5,7,0,1,0,0,0,1,0,3,0,0
2015_7_6,7,0,1,0,0,0,0,0,0,0,1
2015_7_7,7,1,0,0,0,0,1,0,1,0,0
2015_7_8,7,0,0,0,1,0,0,1,0,0,0
2015_7_9,7,1,1,0,0,0,1,0,0,0,0
2015_7_10,7,0,0,0,1,0,0,0,1,0,1
2015_7_11,7,0,0,0,0,0,0,1,0,0,0
2015_7_12,7,0,3,0,0,0,1,0,0,0,0
2015_7_13,7,2,0,0,1,0,0,0,1,0,0
2015_7_14,7,0,0,0,0,0,0,0,0,0,0
2015_7_15,7,0,1,0,0,0,0,1,0,0,1
2015_7_16,7,0,0,0,0,0,1,0,0,0,0
2015_7_17,7,1,0,0,1,0,0,0,1,0,0
2015_7_18,7,0,0,0,0,0,0,0,0,0,0
2015_7_19,7,0,0,0,0,0,1,0,0,0,1
2015_7_20,7,0,0,0,1,0,0,0,1,0,0
2015_7_21,7,0,0,0,0,0,0,0,0,0,0
2015_7_22,7,0,0,0,0,0,0,0,0,0,0
2015_7_23,7,0,0,0,0,0,0,0,0,0,0
2015_7_24,7,0,0,0,0,0,0,0,1,0,0
2015_7_25,7,0,0,0,0,0,0,0,0,0,0
2015_7_26,7,0,1,0,0,0,0,0,0,0,0
2015_7_27,7,0,0,0,0,0,0,0,0,0,0
2015_7_28,7,0,0,0,1,0,0,0,0,0,0
2015_7_29,7,0,0,0,0,0,0,0,0,0,0
2015_7_30,7,0,0,0,0,0,0,1,0,0,0
2015_8_1,8,1,0,0,0,0,1,0,0,0,0
2015_8_2,8,0,3,0,0,0,0,0,0,0,0
